내용,1,2,3,4,답
____________ harvesting techniques have been instrumental in helping many of the local small farmers to become more self-sufficient. ,Improvement,Improved,Improve,Improves,Improved
Any defective merchandise returned within forty days of purchase is considered under____________ and will be replaced at no extra cost. ,cover,assistance,certificate,warranty,warranty
Business experts predict that the upward trend in consumer spending is_______________  to continue until the end of this year. ,potential,likely,safety,seemed,likely
____________ who have not received the conference accommodation form should report to the registration desk as quickly as possible. ,These,This,Those,That,Those
It is believed that taking short breaks throughout the workday can help reduce personal stress____________ increasing long-term productivity. ,but,whether,since,while,while
It is essential for city planners to take into consideration that_________  built-up areas could pose substantial traffic problems downtown. ,densely,serenely,securely,shapely,densely
"In an attempt to____________congestion caused by flight delays, officials at Moscow International Airport will purchase land for additional runways. ",deteriorate,raise,alleviate,assist,alleviate
Business experts remain optimistic about the continuing____________ of Western Technology's stock. ,stabilize,stabilizer,stable,stability,stability
"____________  sales figures for the past three months have been strong, we still expect to see a decline in profits for this year. ",Meanwhile,In spite of,Even though,Moreover,Even though
"We accept all applications,______________________________  whether applicants have previous experience in software markets. ",regardless of,despite that,except for,considering that,regardless of
____________  50 percent of the employees of Enter Company can speak more than one language. ,Nearly,Justly,Mostly,Fluently,Nearly
"Sales are liable to be concentrated in the last few days of the month, when sales representatives know_________ they must reach sales targets. ",about,what,that,it,that
"____________  enough money has been budgeted for the employee professional development program, the manager is unwilling to proceed. ",In spite,Therefore,Because of,Although,Although
"Ultra Health Foods store will open on August 20, at which time Ultra's own line of homemade gourmet dishes will be_______________  . ",introduced,declared,played,instructed,introduced
"In today's rapid, intensely competitive global marketplace, our company must_______________ contacts quickly to build new trade relationships. ",establish,establishing,to establish,establishes,establish
Anyone interested in the presentation is cordially invited to attend___________________________this week. ,it,him,her,them,it
The supervisor maintained that all inquiries from customers be answered____________ . ,solely,highly,recently,instantly,instantly
They had another garage_________ to their house last year. ,add                    ,added ,to add                ,adding,added 
"____________  you need further information regarding the tourist attraction, please do not hesitate to call our agencies. ",If,Unless,Because,Whenever,If
"Members of Congress have agreed to the new trade acts,____________ will be effective in a year. ",who,that,which,whose,which
The CEO should definitely________________________the responsibility for bankruptcy of the company. ,take,takes,taking,taken,take
All donations from the charity bazaar will be used to____________ in poor families. ,aids,aided,aid,aiding,aid
"By____________ various prices of the item through the internet, you can purchase the cheapest one. ",compare,comparison,comparing,to compare,comparing
BEST Fitness Club____________ all new members to try out its facilities for 7 days. ,lets,forces,makes,permits,permits
"When the computer system broke down, all the data____________ from the computer. ",erased,erasing,was erasing,was erased,was erased
The corporation doesn't reserve the right____________ the documents to hand out them to employees. ,reproduce,reproduced,to reproduce,reproduction,to reproduce
The overdue expenses in your account should be____________ as soon as possible. ,pay,pays,paid,paying,paid
He wants to start with a minimum order and buy more of the products when his company____________ them. ,needed                             ,needs ,is needed                           ,will need,needs 
Most people in the company_____________________ the boss for his generosity. ,respects,respecting,have respected,have been respected,have respected
Current costs of transporting goods have been gradually rising because of highly____________ oil prices. ,increase,decrease,increased,decreased,increased
"Interest rates on long-term loans have____________ recently, so this would be a good time to consider expanding the manufacturing facility. ",refused,performed,acquired,fallen,fallen
Domestic travel destinations are gaining____________ as overseas flights are becoming more expensive. ,elevation,mobility,belief,popularity,popularity
"If the new technology is successful, XYZ Company will become the largest company in the country running__________________  on renewable energy. ",exclusive,excluding,exclusively,excluded,exclusively
"Although ABC Publication will ship orders anywhere in the world, due_______________  company policy all payments must be made in Canadian dollars. ",by,to,on,for,to
Please be assured that the new corporation will____________ much of the previous company's product line. ,retain,practice,persist,cooperate,retain
"During the meeting, the product development team insisted that their microwave oven design was________________________than the competitor's latest release. ",more efficient ,so efficiently,as efficient,most efficiently,more efficient 
"Due to the unexpected____________in the cost of fuel, all shipping costs will increase by 15% starting on October 1. ",rise,extension,production,grade,rise
Doctors advise their patients that getting sufficient rest will decrease the time it takes____________ from a minor cold. ,will recover,to recover,be recovered,has recovered ,to recover
Many financial experts recommend keeping enough accessible savings to cover six months' worth of living__________________. ,budgets,prices,credits,expenses,expenses
Business News Monthly is prepared____________ a fifty-percent discount to customers who renew their subscriptions for a two-year period. A,to offer,has offered,offering,offers,to offer
The content on the Aspero Designs Web site is protected by copyright law and may not be reproduced________________________the company's written consent. ,behind,without,except,before,without
Customers who purchase concert tickets will be charged a service fee_______________ they pay by cash or credit card. ,whether,either,even,despite,whether
"Dr. Hemana and Dr. Wareham, the joint recipient of the Cobalt Research Prize, have known____________ since they were university students in Auckland. ",other one,another one,any other,each other,each other
"In addition to fine dining, the elegant Ipswich Inn provides every amenity____________ for small or large business meetings. ",necessity,necessitate,necessary,necessarily,necessary
The library at the Kane-Clark Institute contains numerous items__________________the history of the renowned philanthropic. ,document,documents,documentary,documenting,documenting
Mr.Takei attended one business conference in April and plans to attend two more conferences_____________________  in the year. ,then,later,long,ever ,later
Whitcomb Hospital's new efficiency program aims to reduce the workload of hospital employees while improving patient____________ . ,care,cared,careful,carefully,care
"This afternoon's flights to Barcelona, London, and Rome have all been delayed____________ inclement weather in the destination cities. ",as for,due to,now that,only if,due to
Patrons who arrive at the theater_______________ the show has begun will not be seated until the intermission. ,wherever,into,along,after,after
"To save time and costs, Alberta Industries recommends that any associates who travel for business____________ the amount of luggage they carry. ",minimize,to minimize,have minimize,minimizing,minimize
"A farewell luncheon will be held in honor of the boss,____________ has been committed to our company for thirty years. ",who,that,which,whose,who
Stock Exchange is_________  unstable that investors are having difficulty managing their money. ,so,too,such,very,so
Please don't enter the room_____________________ you are not allowed by the staff. ,or,and,unless,provided,provided
All traffic was being diverted_____________________the military parades. ,as  ,result in ,in case   ,because of,because of
The____________ installed system in our factory is making the operation more efficient. ,new,newer,newest,newly,newly
"Parking is prohibited in areas marked for emergency use, and drivers who park their vehicles in these zones are____________ to substantial fines. ",subject,subjecting,subjection,subjections,subject
"____________ of homegrown and organic fruits and vegetables, as well as handmade crafts and jewelry, are available for purchase at the Springdale community market. ",Varies,Variant,Varieties,Various,Varieties
"According to the proposal, a large block of rooms in the east wing of the new building will be____________ for storage. ",designated ,detained,reciprocated,signified ,designated 
They asked her whether________________________ looking for a full-time or a part time job. ,she is                              ,is she ,she was                            ,was she,she was                            
The research and development division at Spiridon Biometics has improved the quality and scope of its products under Ms. Chang's________________________. ,disposal,direction,prominence,capacity,direction
Customers concerned about_____________________ utility rate increase will be given the option of prepaying for three months of service at today's rate. ,considerate,instructive,probable,expended,probable
The businesses listed in the directory are first categorized by location and____________ in alphabetical order. ,since,then,here,much,then
Mr. Fernando is responsible for fulfilling____________ for office furnishings. ,request,requesting,requested,requests,requests
Signs advising bike riders to use paths rather than city streets will be posted____________  Seoul. ,against,except,throughout,upon,throughout
Accountants and other finance professionals are busy____________ to the deadline for filing return taxes. ,suited,conducive,prior,forward,prior
Please sign the contract and return it to the Human Resources Department____________  seven days. ,within,behind,still,even ,within
Purchases from any ABC Store can be returned____________ accompanied by an original receipt. ,until,not only ,since ,only if,only if
"Researchers from around the world worked long hours, putting in_____________________  effort to develop the new medication. ",proficient,secondary,present,considerable,considerable
The monthly rental fee for the office includes the shared cost of ongoing_______________ in the surrounding flower garden. ,maintaining,maintenance,maintained,maintains,maintenance
"____________  at the medical conference reached 5,000 this year, breaking last year's record of 4,500. ",Attendant,Attended,Attendee,Attendance,Attendance
ABC Company is offering potential clients an initial consultation________________________free of charge. ,extremely,completely,exclusively,continually,completely
Dr. Roberts gave a very________________________  presentation at the annual medical conference in Tokyo. ,information,informative,inform,informer,informative
"In many____________ of the industry, the Grand Hotel has received high ratings for overall client satisfaction. ",survey,surveys,surveying,surveyed,surveys
"____________  the manufacturing facility is over-staffed at the moment, we expect orders will pick up again after the holiday season. ",Although,Yet,Meanwhile,But,Although
Job seekers for sales positions at XYZ Corporation____________ to possess at least five years of experience in the field. ,require,requires,are required,has required,are required
Advertisements purchased after the 20th of the month will be printed in the next____________of the magazine. ,condition,issue,price,promise,issue
Spasiba officials have______________________________warned that the organization is facing a major financial crisis. ,repeat,repeater,repeatedly,repetition,repeatedly
"Recent studies show that overseas markets are expanding rapidly, so we are expecting substantial___________________________from Africa during the next fiscal year. ",grew,growth,grown,grow,growth
Znayu Printing Shop will design a graphic for corporate stationery and business cards at no______________________________ charge. ,addition,adding,additional,additionally,additional
Okno Hotel staff members who are____________ in receiving first-aid training should contact the human resources department no later than this Friday. ,interested,listed,hopeful,enclosed,interested
"Since Paul Newman is our only delegate to the conference, he has to travel there by____________. ",he,him,himself,his,himself
The number of students entering universities____________after graduating from high schools has dropped in recent years. ,direct,directly,directed,direction,directly
The computer network is undergoing some renovations and____________ shut down for five hours tomorrow afternoon. ,was,are,has been,will be,will be
____________ mobile phones is strictly prohibited in the middle of movies. ,Use,Uses,Using,Useful,Using
"Mr. Stevens and Mr. Smith are planning to make the presentation, but Mr. Hanks may join____________. ",they,their,them,themselves,them
Several department heads met last week to discuss the influence of the_______________economy on the company sales. ,current,currently,currency,more current,current
The construction industry is_____________________ long slump due to the policy of government. ,undergo,underwent,undergone,undergoing,undergoing
There is a reminder that the departure of Flight No.04___________________________due to its mechanical problem. ,has postponed,have postponed,has been postponed,have been postponed,has been postponed
It is necessary_________  customers to review the contract amendments thoroughly. ,to,with,on,for,for
The new model of SOROO 73A Computer is designed to reduce__________________  of the system failures. ,possible,possibly,possibility,possess,possibility
Overseas trade is expected to increase____________ next year. ,signify ,significant,signifying,significantly,significantly
Advocates of detour project claim it will improve the traffic flow in Madison County____________ peak hours. ,while,during,when,about,during
The construction company has had to____________ extra workers in order to meet the deadline. ,reply,detect,hire,construct,hire
His allergic symptoms are likely to get worse with the____________ of the summer. ,arrive,arrival,arrived,arriving,arrival
Please contact one of the________________________ sales offices to make a purchase of quality items. ,local,locally,locate,location,local
____________  attempts were made to find the missing shipment. ,Several,Much,Every,Numbers,Several
